fault_name,length,location,sense_of_movement,time_of_movement,associated_earthquakes
Aedipsos-Kandili Fault,60,North Euboean Gulf - Greece,Normal,Active,
Alaska-Aleutian Megathrust,3600,Kamchatka - Russia to Gulf of Alaska,Subduction zone,Active,1964 Prince William Sound (M9.2) - 1965 Rat Islands (M8.7) - 1957 Andreanof Islands (M8.6)
Alpine Fault,1400,South Island - New Zealand,Dextral strike-slip,Active,2009 Fiordland (M7.8)
Altyn Tagh Fault,1200,Tibetan Plateau/Tarim Basin,Sinistral strike-slip,Active,
Amfilochia Fault,60,Western Greece,Sinistral strike-slip,Active,
Amorgos Fault,>100,Greece - South Aegean Sea,Normal,Active,1956 Amorgos (M7.4)[1]
Arkitsa – Agios Konstantinos Fault zone,25,Central Greece,Normal,,
Aspy Fault,40,Nova Scotia,Strike-slip,,
Atacama Fault,800,Atacama desert - Chile,Strike-slip,Active,
Atalanti Fault,50,Central Greece,Normal Fault,Active,1894 Atalanti (M6.4 - M6.9)
Atotsugawa Fault,Japan,Dextral strike-slip,Active,1858 Hietsu earthquake (M~7),
Awatere Fault,South Island - New Zealand,Dextral strike-slip,Active,1848 Marlborough (M7.5),
Azores–Gibraltar Transform Fault,2250,Azores to Strait of Gibraltar,Dextral strike-slip,Active,1755 Lisbon earthquake (est. M7.5–8.0) - 1969 Cape St. Vincent (M7.9) - 1941 Gloria Fault (M8.0)
Baikal Rift Zone,Lake Baikal,Rift zone,Active,,
Ballenas Fault,Gulf of California - United States,Transform,Active,,
Brothers Fault Zone,Oregon - United States,,,,
Cascadia megathrust,1000,West coast of United States – Oregon & Washington Vancouver Island Canada,Subduction zone,Active,1700 Cascadia (M9.0)
Central African Shear Zone,4000,Central Africa,Rift zone,,
Cerro Prieto Fault,Gulf of California - United States,Transform,Active,,
Chixoy-Polochic Fault,Guatemala,Transform,Active,1816 Guatemala (M7.5)[2],
Christchurch Fault,South Island - New Zealand,Active,,,
Chile subduction megathrust,3000,West coast of Chile,Subduction zone,Active,1960 Valdivia (M9.5); 1906 Valparaiso (M8.2); 2010 Maule (M8.8); 2014 Iquique (M8.2)
Clarence Fault,South Island - New Zealand,Dextral strike-slip,Active,,
Clarendon-Linden fault system,New York - United States,,,,
Clayton-Marsh Creek-Greenville Fault,California - United States,,,,
Cochabamba Fault Zone,Bolivia,Sinistral strike-slip,,,
Corinth Rift,110,Greece,Normal Fault,Active,1995 Aegion (M6.2); 1981 Alkyonides; 1861 Helike; 373 BC Helike
Craven Fault System,Pennines,Normal Fault,Carboniferous,,
Darling Fault,950-1500,Western Australia - Australia,Proterozoic,,
Dead Sea Transform,Sinai Peninsula,Sinistral transform,Active,1138 Aleppo earthquake,
Delfi Fault Zone,25,Central Greece,Normal to strike-slip,,
Denali Fault,British Columbia - Canada to Alaska - United States,Dextral strike-slip,Active,2002 Denali (M7.9),
East Anatolian Fault,Turkey,Strike-slip,Active,2003 Bingöl (M6.4) - 2010 Elâzığ (M6.1),
Eastern Tennessee Seismic Zone,Alabama to Virginia - United States,Active,2003 Alabama (M4.6),,
Elsinore Fault Zone,180,California - United States,Dextral strike-slip,Active,
Eltanin Fault System,Southern Ocean,Dextral transform,Active,1600 km offset,
Enriquillo-Plantain Garden fault zone,Hispaniola,Sinistral strike-slip,Active,2010 Haiti (M7.0),
Glarus thrust,Switzerland,Thrust fault,Cenozoic,,
Great Glen Fault,Scotland,Strike-slip,Silurian to Cenozoic,,
Great Lakes Tectonic Zone (GLTZ),1 -400,Great Lakes - United States,Tectonic zone,Neoarchean,
Great Sumatran Fault,Sumatra - Indonesia,Strike-slip,Active,1943 Alahan Panjang (M7.2) - 1994 Liwa (M7.0),
Greendale Fault,South Island - New Zealand,Dextral strike-slip,Active,2010 Canterbury (M7.1),
Guaymas Fault,325,California - United States,Dextral strike-slip,Active,
Gulf of California Rift Zone,1300,Mexico,Rift zone,Active,2010 Mexicali (M7.2)
Hayward Fault Zone,119,San Francisco Bay - California - United States,Strike-slip,Active,1868 Hayward (M6.3–6.7)
Hellenic Arc,1000,East Mediterranean Sea,Thrust/Strike-slip,365 AD (M8.5+); 1303 AD (~8),
Honey Lake Fault Zone,Nevada and California - United States,Dextral strike-slip,Active,,
Hope Fault,South Island - New Zealand,Dextral strike-slip,Active,1888 North Canterbury (M7.3),
Humboldt Fault Zone,Nebraska to Kansas - United States,Normal fault,Active,1867 Manhattan - Kansas (M5.1),
Imperial Fault Zone,California - United States,Dextral strike-slip,Active,1940 El Centro (M6.9) - 1979 Imperial Valley (M6.4),
Ierapetra Fault,40,Crete,Normal Fault,,
